"Statistic Label","CensusYear","Sex","Means of Travel","At Work, Childcare, School or College","UNIT","VALUE"
"Persons Usually Resident and Present in the State","2006","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","4087"
"Persons Usually Resident and Present in the State","2006","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","7377"
"Persons Usually Resident and Present in the State","2006","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","6190"
"Persons Usually Resident and Present in the State","2006","Both sexes","Bus, minibus or coach","All persons","Number","326949"
"Persons Usually Resident and Present in the State","2006","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","114956"
"Persons Usually Resident and Present in the State","2006","Both sexes","Bus, minibus or coach","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","67350"
"Persons Usually Resident and Present in the State","2006","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","108400"
"Persons Usually Resident and Present in the State","2006","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","36243"
"Persons Usually Resident and Present in the State","2006","Both sexes","Train, DART or LUAS","All persons","Number","71658"
"Persons Usually Resident and Present in the State","2006","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","54942"
"Persons Usually Resident and Present in the State","2006","Both sexes","Train, DART or LUAS","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","594"
"Persons Usually Resident and Present in the State","2006","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","5348"
"Persons Usually Resident and Present in the State","2006","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","10774"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motorcycle or scooter","All persons","Number","14338"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","13049"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motorcycle or scooter","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","487"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","802"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motor car: Driver","All persons","Number","1118312"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","1080446"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motor car: Driver","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","5131"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","32735"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motor car: Passenger","All persons","Number","459497"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","104861"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motor car: Passenger","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","246802"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","95905"
"Persons Usually Resident and Present in the State","2006","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","11929"
"Persons Usually Resident and Present in the State","2006","Both sexes","Other means (incl. lorry or van)","All persons","Number","149928"
"Persons Usually Resident and Present in the State","2006","Both sexes","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","147035"
"Persons Usually Resident and Present in the State","2006","Both sexes","Other means (incl. lorry or van)","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Both sexes","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","1454"
"Persons Usually Resident and Present in the State","2006","Both sexes","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","842"
"Persons Usually Resident and Present in the State","2006","Both sexes","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","597"
"Persons Usually Resident and Present in the State","2006","Both sexes","Not stated","All persons","Number","46555"
"Persons Usually Resident and Present in the State","2006","Both sexes","Not stated","Population aged 15 years and over at work","Number","29798"
"Persons Usually Resident and Present in the State","2006","Both sexes","Not stated","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","10805"
"Persons Usually Resident and Present in the State","2006","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","3155"
"Persons Usually Resident and Present in the State","2006","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","2797"
"Persons Usually Resident and Present in the State","2006","Both sexes","All means of travel","All persons","Number","2674307"
"Persons Usually Resident and Present in the State","2006","Both sexes","All means of travel","Population aged 15 years and over at work","Number","1787081"
"Persons Usually Resident and Present in the State","2006","Both sexes","All means of travel","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","440145"
"Persons Usually Resident and Present in the State","2006","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","300991"
"Persons Usually Resident and Present in the State","2006","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","146090"
"Persons Usually Resident and Present in the State","2006","Male","On foot","All persons","Number","205881"
"Persons Usually Resident and Present in the State","2006","Male","On foot","Population aged 15 years and over at work","Number","94567"
"Persons Usually Resident and Present in the State","2006","Male","On foot","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Male","On foot","Children at school aged between 5 and 12 years","Number","55799"
"Persons Usually Resident and Present in the State","2006","Male","On foot","Students at school or college aged between 13 and 18 years","Number","36416"
"Persons Usually Resident and Present in the State","2006","Male","On foot","Students at school or college aged 19 years and over","Number","19099"
"Persons Usually Resident and Present in the State","2006","Male","Bicycle","All persons","Number","42407"
"Persons Usually Resident and Present in the State","2006","Male","Bicycle","Population aged 15 years and over at work","Number","27948"
"Persons Usually Resident and Present in the State","2006","Male","Bicycle","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Male","Bicycle","Children at school aged between 5 and 12 years","Number","3043"
"Persons Usually Resident and Present in the State","2006","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","6856"
"Persons Usually Resident and Present in the State","2006","Male","Bicycle","Students at school or college aged 19 years and over","Number","4560"
"Persons Usually Resident and Present in the State","2006","Male","Bus, minibus or coach","All persons","Number","157556"
"Persons Usually Resident and Present in the State","2006","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","54271"
"Persons Usually Resident and Present in the State","2006","Male","Bus, minibus or coach","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","34413"
"Persons Usually Resident and Present in the State","2006","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","52639"
"Persons Usually Resident and Present in the State","2006","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","16233"
"Persons Usually Resident and Present in the State","2006","Male","Train, DART or LUAS","All persons","Number","36051"
"Persons Usually Resident and Present in the State","2006","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","28049"
"Persons Usually Resident and Present in the State","2006","Male","Train, DART or LUAS","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","328"
"Persons Usually Resident and Present in the State","2006","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","2673"
"Persons Usually Resident and Present in the State","2006","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","5001"
"Persons Usually Resident and Present in the State","2006","Male","Motorcycle or scooter","All persons","Number","12270"
"Persons Usually Resident and Present in the State","2006","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","11225"
"Persons Usually Resident and Present in the State","2006","Male","Motorcycle or scooter","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","399"
"Persons Usually Resident and Present in the State","2006","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","646"
"Persons Usually Resident and Present in the State","2006","Male","Motor car: Driver","All persons","Number","595950"
"Persons Usually Resident and Present in the State","2006","Male","Motor car: Driver","Population aged 15 years and over at work","Number","580034"
"Persons Usually Resident and Present in the State","2006","Male","Motor car: Driver","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","2668"
"Persons Usually Resident and Present in the State","2006","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","13248"
"Persons Usually Resident and Present in the State","2006","Male","Motor car: Passenger","All persons","Number","231749"
"Persons Usually Resident and Present in the State","2006","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","55033"
"Persons Usually Resident and Present in the State","2006","Male","Motor car: Passenger","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","125866"
"Persons Usually Resident and Present in the State","2006","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","45750"
"Persons Usually Resident and Present in the State","2006","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","5100"
"Persons Usually Resident and Present in the State","2006","Male","Other means (incl. lorry or van)","All persons","Number","145234"
"Persons Usually Resident and Present in the State","2006","Male","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","143533"
"Persons Usually Resident and Present in the State","2006","Male","Other means (incl. lorry or van)","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Male","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","797"
"Persons Usually Resident and Present in the State","2006","Male","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","483"
"Persons Usually Resident and Present in the State","2006","Male","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","421"
"Persons Usually Resident and Present in the State","2006","Male","Not stated","All persons","Number","28946"
"Persons Usually Resident and Present in the State","2006","Male","Not stated","Population aged 15 years and over at work","Number","20176"
"Persons Usually Resident and Present in the State","2006","Male","Not stated","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Male","Not stated","Children at school aged between 5 and 12 years","Number","5606"
"Persons Usually Resident and Present in the State","2006","Male","Not stated","Students at school or college aged between 13 and 18 years","Number","1668"
"Persons Usually Resident and Present in the State","2006","Male","Not stated","Students at school or college aged 19 years and over","Number","1496"
"Persons Usually Resident and Present in the State","2006","Male","All means of travel","All persons","Number","1456044"
"Persons Usually Resident and Present in the State","2006","Male","All means of travel","Population aged 15 years and over at work","Number","1014836"
"Persons Usually Resident and Present in the State","2006","Male","All means of travel","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Male","All means of travel","Children at school aged between 5 and 12 years","Number","225852"
"Persons Usually Resident and Present in the State","2006","Male","All means of travel","Students at school or college aged between 13 and 18 years","Number","149552"
"Persons Usually Resident and Present in the State","2006","Male","All means of travel","Students at school or college aged 19 years and over","Number","65804"
"Persons Usually Resident and Present in the State","2006","Female","On foot","All persons","Number","227229"
"Persons Usually Resident and Present in the State","2006","Female","On foot","Population aged 15 years and over at work","Number","111121"
"Persons Usually Resident and Present in the State","2006","Female","On foot","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Female","On foot","Children at school aged between 5 and 12 years","Number","53254"
"Persons Usually Resident and Present in the State","2006","Female","On foot","Students at school or college aged between 13 and 18 years","Number","37930"
"Persons Usually Resident and Present in the State","2006","Female","On foot","Students at school or college aged 19 years and over","Number","24924"
"Persons Usually Resident and Present in the State","2006","Female","Bicycle","All persons","Number","11553"
"Persons Usually Resident and Present in the State","2006","Female","Bicycle","Population aged 15 years and over at work","Number","8358"
"Persons Usually Resident and Present in the State","2006","Female","Bicycle","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Female","Bicycle","Children at school aged between 5 and 12 years","Number","1044"
"Persons Usually Resident and Present in the State","2006","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","521"
"Persons Usually Resident and Present in the State","2006","Female","Bicycle","Students at school or college aged 19 years and over","Number","1630"
"Persons Usually Resident and Present in the State","2006","Female","Bus, minibus or coach","All persons","Number","169393"
"Persons Usually Resident and Present in the State","2006","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","60685"
"Persons Usually Resident and Present in the State","2006","Female","Bus, minibus or coach","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","32937"
"Persons Usually Resident and Present in the State","2006","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","55761"
"Persons Usually Resident and Present in the State","2006","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","20010"
"Persons Usually Resident and Present in the State","2006","Female","Train, DART or LUAS","All persons","Number","35607"
"Persons Usually Resident and Present in the State","2006","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","26893"
"Persons Usually Resident and Present in the State","2006","Female","Train, DART or LUAS","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","266"
"Persons Usually Resident and Present in the State","2006","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","2675"
"Persons Usually Resident and Present in the State","2006","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","5773"
"Persons Usually Resident and Present in the State","2006","Female","Motorcycle or scooter","All persons","Number","2068"
"Persons Usually Resident and Present in the State","2006","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","1824"
"Persons Usually Resident and Present in the State","2006","Female","Motorcycle or scooter","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","88"
"Persons Usually Resident and Present in the State","2006","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","156"
"Persons Usually Resident and Present in the State","2006","Female","Motor car: Driver","All persons","Number","522362"
"Persons Usually Resident and Present in the State","2006","Female","Motor car: Driver","Population aged 15 years and over at work","Number","500412"
"Persons Usually Resident and Present in the State","2006","Female","Motor car: Driver","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","2463"
"Persons Usually Resident and Present in the State","2006","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","19487"
"Persons Usually Resident and Present in the State","2006","Female","Motor car: Passenger","All persons","Number","227748"
"Persons Usually Resident and Present in the State","2006","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","49828"
"Persons Usually Resident and Present in the State","2006","Female","Motor car: Passenger","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","120936"
"Persons Usually Resident and Present in the State","2006","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","50155"
"Persons Usually Resident and Present in the State","2006","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","6829"
"Persons Usually Resident and Present in the State","2006","Female","Other means (incl. lorry or van)","All persons","Number","4674"
"Persons Usually Resident and Present in the State","2006","Female","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","3502"
"Persons Usually Resident and Present in the State","2006","Female","Other means (incl. lorry or van)","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Female","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","657"
"Persons Usually Resident and Present in the State","2006","Female","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","359"
"Persons Usually Resident and Present in the State","2006","Female","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","156"
"Persons Usually Resident and Present in the State","2006","Female","Not stated","All persons","Number","17609"
"Persons Usually Resident and Present in the State","2006","Female","Not stated","Population aged 15 years and over at work","Number","9622"
"Persons Usually Resident and Present in the State","2006","Female","Not stated","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Female","Not stated","Children at school aged between 5 and 12 years","Number","5199"
"Persons Usually Resident and Present in the State","2006","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","1487"
"Persons Usually Resident and Present in the State","2006","Female","Not stated","Students at school or college aged 19 years and over","Number","1301"
"Persons Usually Resident and Present in the State","2006","Female","All means of travel","All persons","Number","1218243"
"Persons Usually Resident and Present in the State","2006","Female","All means of travel","Population aged 15 years and over at work","Number","772245"
"Persons Usually Resident and Present in the State","2006","Female","All means of travel","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2006","Female","All means of travel","Children at school aged between 5 and 12 years","Number","214293"
"Persons Usually Resident and Present in the State","2006","Female","All means of travel","Students at school or college aged between 13 and 18 years","Number","151439"
"Persons Usually Resident and Present in the State","2006","Female","All means of travel","Students at school or college aged 19 years and over","Number","80266"
"Persons Usually Resident and Present in the State","2011","Both sexes","On foot","All persons","Number","414938"
"Persons Usually Resident and Present in the State","2011","Both sexes","On foot","Population aged 15 years and over at work","Number","170510"
"Persons Usually Resident and Present in the State","2011","Both sexes","On foot","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","118523"
"Persons Usually Resident and Present in the State","2011","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","73946"
"Persons Usually Resident and Present in the State","2011","Both sexes","On foot","Students at school or college aged 19 years and over","Number","51959"
"Persons Usually Resident and Present in the State","2011","Both sexes","Bicycle","All persons","Number","61177"
"Persons Usually Resident and Present in the State","2011","Both sexes","Bicycle","Population aged 15 years and over at work","Number","39803"
"Persons Usually Resident and Present in the State","2011","Both sexes","Bicycle","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","6252"
"Persons Usually Resident and Present in the State","2011","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","6592"
"Persons Usually Resident and Present in the State","2011","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","8530"
"Persons Usually Resident and Present in the State","2011","Both sexes","Bus, minibus or coach","All persons","Number","288562"
"Persons Usually Resident and Present in the State","2011","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","91676"
"Persons Usually Resident and Present in the State","2011","Both sexes","Bus, minibus or coach","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","60263"
"Persons Usually Resident and Present in the State","2011","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","96153"
"Persons Usually Resident and Present in the State","2011","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","40470"
"Persons Usually Resident and Present in the State","2011","Both sexes","Train, DART or LUAS","All persons","Number","70976"
"Persons Usually Resident and Present in the State","2011","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","52749"
"Persons Usually Resident and Present in the State","2011","Both sexes","Train, DART or LUAS","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","691"
"Persons Usually Resident and Present in the State","2011","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","5640"
"Persons Usually Resident and Present in the State","2011","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","11896"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motorcycle or scooter","All persons","Number","9312"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","8443"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motorcycle or scooter","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","236"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","633"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motor car: Driver","All persons","Number","1127396"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","1067451"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motor car: Driver","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","6339"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","53606"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motor car: Passenger","All persons","Number","508338"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","69164"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motor car: Passenger","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","296711"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","126172"
"Persons Usually Resident and Present in the State","2011","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","16291"
"Persons Usually Resident and Present in the State","2011","Both sexes","Other means (incl. lorry or van)","All persons","Number","134115"
"Persons Usually Resident and Present in the State","2011","Both sexes","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","131018"
"Persons Usually Resident and Present in the State","2011","Both sexes","Other means (incl. lorry or van)","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Both sexes","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","1078"
"Persons Usually Resident and Present in the State","2011","Both sexes","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","797"
"Persons Usually Resident and Present in the State","2011","Both sexes","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","1222"
"Persons Usually Resident and Present in the State","2011","Both sexes","Not stated","All persons","Number","94892"
"Persons Usually Resident and Present in the State","2011","Both sexes","Not stated","Population aged 15 years and over at work","Number","64260"
"Persons Usually Resident and Present in the State","2011","Both sexes","Not stated","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","17682"
"Persons Usually Resident and Present in the State","2011","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","6319"
"Persons Usually Resident and Present in the State","2011","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","6631"
"Persons Usually Resident and Present in the State","2011","Both sexes","All means of travel","All persons","Number","2709706"
"Persons Usually Resident and Present in the State","2011","Both sexes","All means of travel","Population aged 15 years and over at work","Number","1695074"
"Persons Usually Resident and Present in the State","2011","Both sexes","All means of travel","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","501200"
"Persons Usually Resident and Present in the State","2011","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","322194"
"Persons Usually Resident and Present in the State","2011","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","191238"
"Persons Usually Resident and Present in the State","2011","Male","On foot","All persons","Number","195536"
"Persons Usually Resident and Present in the State","2011","Male","On foot","Population aged 15 years and over at work","Number","73714"
"Persons Usually Resident and Present in the State","2011","Male","On foot","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Male","On foot","Children at school aged between 5 and 12 years","Number","59986"
"Persons Usually Resident and Present in the State","2011","Male","On foot","Students at school or college aged between 13 and 18 years","Number","37443"
"Persons Usually Resident and Present in the State","2011","Male","On foot","Students at school or college aged 19 years and over","Number","24393"
"Persons Usually Resident and Present in the State","2011","Male","Bicycle","All persons","Number","45810"
"Persons Usually Resident and Present in the State","2011","Male","Bicycle","Population aged 15 years and over at work","Number","29075"
"Persons Usually Resident and Present in the State","2011","Male","Bicycle","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Male","Bicycle","Children at school aged between 5 and 12 years","Number","4457"
"Persons Usually Resident and Present in the State","2011","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","6063"
"Persons Usually Resident and Present in the State","2011","Male","Bicycle","Students at school or college aged 19 years and over","Number","6215"
"Persons Usually Resident and Present in the State","2011","Male","Bus, minibus or coach","All persons","Number","137260"
"Persons Usually Resident and Present in the State","2011","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","38595"
"Persons Usually Resident and Present in the State","2011","Male","Bus, minibus or coach","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","31217"
"Persons Usually Resident and Present in the State","2011","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","48143"
"Persons Usually Resident and Present in the State","2011","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","19305"
"Persons Usually Resident and Present in the State","2011","Male","Train, DART or LUAS","All persons","Number","35005"
"Persons Usually Resident and Present in the State","2011","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","25652"
"Persons Usually Resident and Present in the State","2011","Male","Train, DART or LUAS","Children at school or childcare aged between 0 and 4 years","Number","0"
"Persons Usually Resident and Present in the State","2011","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","371"
"Persons Usually Resident and Present in the State","2011","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","2926"
"Persons Usually Resident and Present in the State","2011","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","6056"
"Persons Usually Resident and Present in the State","2011","Male","Motorcycle or scooter","All persons","Number","8019"
"Persons Usually Resident and Present in the State","2011","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","7332"
